STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2017,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2016,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2015,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2014,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2013,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2012,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2011,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2010,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,PHL,Philippines,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2009,,0,,A,Normal value,0,Units,3000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2016,,10.579,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2015,,10.586,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2014,,10.789,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2013,,11.062,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2012,,10.603,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2011,,10.049,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2010,,9.51,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2009,,8.568,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,FRA,France,TAX_REV,Tax revenue,S13,General government,T_1000,"Taxes on income, profits and capital gains of individuals and corporations",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2018,,11.516,,A,Normal value,0,Units,1000,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.0),Comparative tables of countries in the global database,I,SO,Asia and the Pacific,TAX_REV,Tax revenue,S13,General government,T_5000,Taxes on goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2017,,9.394,,A,Normal value,0,Units,5000,,1,One,_Z,Not applicable
